hour,correct,error,time,total,error_rate
00:00,7.5166666666666675,3.083333333333333,15,10.600000000000001,0.290880503144654
01:00,7.366666666666666,3.85,115,11.216666666666667,0.34323922734026746
02:00,13.850000000000001,5.266666666666667,215,19.116666666666667,0.27550130775937226
03:00,16.799999999999997,7.433333333333334,315,24.23333333333333,0.3067400275103164
04:00,30.98333333333333,10.633333333333333,415,41.61666666666666,0.25550660792951546
05:00,28.766666666666666,23.28333333333333,515,52.05,0.4473262888248479
06:00,52.16666666666667,49.733333333333334,615,101.9,0.48806018972849197
07:00,42.03333333333333,74.2,715,116.23333333333333,0.6383710926297678
08:00,46.98333333333333,69.85,815,116.83333333333331,0.5978601997146934
09:00,38.1,78.6,915,116.69999999999999,0.6735218508997429
10:00,36.0,84.96666666666667,1015,120.96666666666667,0.7023973546431523
11:00,42.016666666666666,73.56666666666666,1115,115.58333333333333,0.6364816149963951
12:00,49.55,75.23333333333333,1215,124.78333333333333,0.6029117136369707
13:00,47.216666666666654,70.58333333333334,1315,117.8,0.5991794001131863
14:00,43.85,63.516666666666666,1415,107.36666666666667,0.5915864638311084
15:00,36.58333333333333,65.76666666666667,1515,102.35,0.6425663572708028
16:00,42.849999999999994,70.08333333333333,1615,112.93333333333332,0.6205726092089728
17:00,38.25,64.46666666666667,1715,102.71666666666667,0.6276164205743956
18:00,42.849999999999994,75.41666666666666,1815,118.26666666666665,0.6376832018038332
19:00,42.65,66.5,1915,109.15,0.6092533211177279
20:00,39.983333333333334,73.48333333333333,2015,113.46666666666667,0.64762044653349
21:00,34.166666666666664,50.78333333333333,2115,84.94999999999999,0.5978026289974495
22:00,45.06666666666667,41.2,2200,86.26666666666668,0.4775888717156105
23:00,23.866666666666667,15.133333333333331,2315,39.0,0.388034188034188
